Time;Bus;Typ;Res;Stat/Err;N0;N1;N2;N3;N4;N5;N6;CRC;Rx Time;Sync Time;Skipped
2,5418057630701307;1;0;0;"1000";8;1;2;1;4;10;1;13;123884408;31495;1
2,559878844361603;1;0;0;"0000";0;2;2;0;4;1;10;12;123891158;31495;1
2,575270262051871;1;64;0;"1010";10;1;12;5;12;1;7;0;123891158;31495;n/a
2,5892871525055434;1;0;0;"1100";12;3;2;3;10;3;0;7;123897593;31496;1
2,6039467217628136;1;0;0;"1000";8;4;2;5;1;0;0;13;123904344;31495;1
2,6197182404078956;1;0;0;"1100";12;5;2;0;8;4;0;1;123910849;31495;1
2,634918169400928;1;0;0;"1000";8;6;2;1;4;7;15;0;123917318;31495;1
2,651231280541625;1;0;0;"1100";12;7;2;2;7;0;0;6;123924174;31495;1
2,6665996867146293;1;0;0;"1100";12;8;2;1;4;1;4;3;123930786;31495;1
2,6823498375222514;1;0;0;"0100";4;9;2;15;8;8;7;15;123937361;31495;1
2,6973866312946773;1;0;0;"0100";4;10;2;5;12;1;1;2;123945096;31495;1
2,7137354924711246;1;0;0;"1100";12;11;2;4;15;4;15;5;123951741;31495;1
2,7292867580223903;1;0;0;"0100";4;12;2;4;15;5;0;0;123959476;31495;1
2,7449469173607106;1;0;0;"1000";8;13;2;2;13;5;2;4;123966297;31495;1
2,759817699472872;1;0;0;"0100";4;14;2;3;0;12;0;9;123973365;31495;1
2,7762832619154456;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
2,777371788866042;1;0;0;"0100";4;0;3;1;14;10;4;4;123980256;31484;2
2,7925676086595628;1;0;0;"0000";0;1;3;1;4;10;6;7;123987007;31495;1
2,8071080111309996;1;0;0;"0100";4;2;3;0;4;1;10;2;123993476;31495;1
2,822176034819713;1;0;0;"1000";8;3;3;3;10;3;0;9;123999736;31495;1
2,8377133290926393;1;0;0;"0100";4;4;3;5;1;0;0;3;124006452;31495;1
2,8532908935207786;1;0;0;"0000";0;5;3;0;8;4;0;15;124012500;31496;1
2,8691552800748203;1;64;0;"1010";10;2;15;6;10;2;11;0;124012500;31496;n/a
2,8846350455545857;1;0;0;"1100";12;6;3;1;4;7;15;14;124019075;31496;1
2,900079060998601;1;0;0;"1000";8;7;3;2;7;0;4;6;124026599;31495;1
2,9158571543629015;1;0;0;"1000";8;8;3;2;8;3;12;7;124033244;31495;1
2,9324681824681824;1;0;0;"1000";8;9;3;15;8;8;7;1;124040382;31495;1
2,946920648070073;1;0;0;"1000";8;10;3;5;15;4;4;12;124047800;31495;1
2,962970770442035;1;0;0;"1000";8;11;3;4;15;4;15;11;124055289;31495;1
2,978029753891823;1;0;0;"0000";0;12;3;4;15;5;0;14;124063131;31496;1
2,993739223624281;1;0;0;"0000";0;13;3;2;13;4;0;15;124070339;31495;1
3,00944540599713;1;0;0;"1000";8;14;3;11;0;8;0;8;124077441;31496;1
3,025022559505318;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
3,02513761709164;1;0;0;"0000";0;0;4;1;14;10;4;9;124084614;31484;2
3,0404973939456696;1;0;0;"1000";8;1;4;1;4;10;6;10;124091435;31495;1
3,0560876968922948;1;0;0;"1000";8;2;4;0;4;1;10;15;124098326;31495;1
3,071690327437454;1;0;0;"0000";0;3;4;3;10;3;0;4;124105218;31496;1
3,0873673344937713;1;0;0;"0000";0;4;4;5;1;0;0;14;124111511;31495;1
3,103318836077457;1;0;0;"0000";0;5;4;0;8;4;0;2;124117841;31495;1
3,1186247824178857;1;0;0;"0000";0;6;4;1;4;7;15;3;124123994;31496;1
3,1341768698090537;1;0;0;"0100";4;7;4;2;7;0;4;11;124130746;31495;1
3,150358075645432;1;0;0;"0000";0;8;4;2;8;3;12;10;124137461;31496;1
3,165776203132525;1;64;0;"1011";11;0;0;0;2;2;0;0;124137461;31496;n/a
3,181082149472954;1;0;0;"1000";8;9;4;15;8;8;7;12;124144458;31496;1
3,1978341231214795;1;0;0;"1000";8;10;4;5;15;4;4;1;124152299;31495;1
3,2141620273804183;1;0;0;"1100";12;11;4;4;15;4;15;6;124159436;31496;1
3,2278390870344893;1;0;0;"1000";8;12;4;4;15;5;0;3;124167277;31495;1
3,2433504933504933;1;0;0;"1100";12;13;4;2;13;4;0;2;124174414;31495;1
3,259137626953719;1;0;0;"1000";8;14;4;3;0;8;0;2;124181516;31495;1
3,275400605860376;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
3,275603600316244;1;0;0;"0000";0;0;5;1;14;10;5;10;124188232;31484;2
3,292049849521114;1;0;0;"0000";0;1;5;1;4;10;6;4;124195160;31495;1
3,3212444792904563;1;0;0;"1100";12;2;5;0;4;1;12;8;124201595;31496;1
3,3373291189383143;1;0;0;"0000";0;3;5;3;10;3;0;10;124208486;31496;1
3,3524628898192117;1;0;0;"1100";12;4;5;5;1;0;0;0;124215026;31495;1
3,3681468825146985;1;0;0;"1100";12;5;5;0;8;4;0;12;124221319;31495;1
3,383793481494631;1;0;0;"0000";0;6;5;1;4;7;15;13;124228281;31495;1
3,3996102013343394;1;0;0;"0100";4;7;5;2;7;0;4;5;124235419;31495;1
3,4151495502070213;1;0;0;"0000";0;8;5;2;8;3;4;5;124241959;31495;1
3,4304394706693557;1;0;0;"0000";0;9;5;15;8;8;7;2;124248534;31495;1
3,446226604272581;1;0;0;"1000";8;10;5;6;0;4;5;4;124255777;31495;1
3,4773550233320347;1;0;0;"0100";4;11;5;4;15;4;15;8;124262599;31495;1
3,4931610592530133;1;64;0;"1011";11;1;2;13;1;0;10;0;124262599;31495;n/a
3,50849124987056;1;0;0;"1000";8;12;5;4;15;4;15;10;124270263;31496;1
3,5244653520515588;1;0;0;"1000";8;13;5;2;13;3;7;6;124278174;31496;1
3,5399282698133274;1;0;0;"1100";12;14;5;11;0;8;0;11;124285523;31495;1
3,5561320762470188;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
3,5564525938089155;1;0;0;"1000";8;0;6;1;14;10;4;8;124293012;31484;2
3,5712485884899676;1;0;0;"1000";8;1;6;1;4;10;5;1;124300149;31495;1
3,5866408280201383;1;0;0;"1100";12;2;6;0;4;1;8;9;124306759;31495;1
